Original Text,Translated in English,Topic
Sería más ameno y fácil de entender y habría más información disponible,It would be more enjoyable and easy to understand and there would be more information available,information
Slovensk gramatika a je špecifiká nevie stroj rozpoznať,Slovak grammar and it is the specifics cannot recognize the machine,machine translation
"As I am normally looking for information regarding directives and decisions, I would feel less certain that the machine translated versions were fully accurate.","As I am normally looking for information regarding directives and decisions, I would feel less certain that the machine translated versions were fully accurate.",reliability
Segítség a fordításban.,Help in translation.,human translation
mauvaise traduction.,Bad translation.,human translation
I'd hurt knowing that many career opportunities were cut short because of technology. Many translators depend on their careers to care for their families and knowing that machine translation would leave them out of work especially on such a grand level and multitude of employees it would definitely be something hurtful.,I'd hurt knowing that many career opportunities were cut short because of technology. Many translators depend on their careers to care for their families and knowing that machine translation would leave them out of work especially on such a grand level and multitude of employees it would definitely be something hurtful.,machine translation
"M.E. ist die Übersetzung bisher nicht immer zuverlässig und daher müßte ich mir die Originaldokumente ansehen, um das zu überprüfen","In my opinion, the translation has not always been reliable and so I should look at the original documents to check that",human translation
Sería perjudicial,It would be harmful,language
I teach education and need to 'interpret' the site to get exactly what is needed (can take some time to find) - if in other languages I could recommend others search it themselves,I teach education and need to 'interpret' the site to get exactly what is needed (can take some time to find) - if in other languages I could recommend others search it themselves,language
"Si es correcta, podría consultar con más facilidad documentos.","If it is correct, you could more easily consult documents.",information
A tradução feita por máquinas continua a apresentar falhas que não se coadunam com o rigor que esta página deve ter! Não pode haver mal entendidos motivados por má tradução!,The translation made by machines continues to present failures that do not fit the rigor that this page must have! There can be no misunderstandings motivated by bad translation!,human translation
"these are politically sensitive language, I don't think that machine translation would be a good idea , it would likely to create many problems","these are politically sensitive language, I don't think that machine translation would be a good idea , it would likely to create many problems",machine translation
Probabil mulți se lenevesc să citească într-o altă limba mai puțin comoda și pe înțelesul lor .,Probably many are lazy to read in another language less comfortable and their meaning.,reliability
"Több embernek jelentene könnyebb használatot itt, Orbán országában",It would mean easier use to more people here in Orban's country,ease of use
Posiblemente la traducción sea menos precisa.,Possibly the translation is less accurate.,reliability
I am not sure about the quality of machine translation,I am not sure about the quality of machine translation,quality
Je referai la traduction moi-meme,I will do the translation myself,human translation
The generated translation would change my feelings towards the website. It would be less attractive to read the auto generated translation and I wouldn't trust the translations. It would change my feeling of trust towards the information I am reading and I would feel conflicted towards the fact that the european union talking about including the citizens but yet not investing in securing the translation. The translation would have to be read through by an EU certified translator in order for me to trust it.,The generated translation would change my feelings towards the website. It would be less attractive to read the auto generated translation and I wouldn't trust the translations. It would change my feeling of trust towards the information I am reading and I would feel conflicted towards the fact that the european union talking about including the citizens but yet not investing in securing the translation. The translation would have to be read through by an EU certified translator in order for me to trust it.,human translation
